year,minimum_wage,state
2009,6.55,Louisiana
2010,7.25,Louisiana
2011,7.25,Louisiana
2012,7.25,Louisiana
2013,7.25,Louisiana
2014,7.25,Louisiana
2015,7.25,Louisiana
2016,7.25,Louisiana
2017,7.25,Louisiana
2018,7.25,Louisiana
2019,7.25,Louisiana
2020,7.25,Louisiana
2021,7.25,Louisiana
2022,7.25,Louisiana
2023,7.25,Louisiana
1997,5.25,Massachusetts
1998,5.25,Massachusetts
1999,5.25,Massachusetts
2000,6,Massachusetts
2001,6.75,Massachusetts
2002,6.75,Massachusetts
2003,6.75,Massachusetts
2004,6.75,Massachusetts
2005,6.75,Massachusetts
2006,6.75,Massachusetts
2007,7.5,Massachusetts
2008,8,Massachusetts
2009,8,Massachusetts
2010,8,Massachusetts
2011,8,Massachusetts
2012,8,Massachusetts
2013,8,Massachusetts
2014,8,Massachusetts
2015,9,Massachusetts
2016,10,Massachusetts
2017,11,Massachusetts
2018,11,Massachusetts
2019,12,Massachusetts
2020,12.75,Massachusetts
2021,13.50,Massachusetts
2022,14.25,Massachusetts
2023,15.00,Massachusetts
1997,4.75,Maryland
1998,5.15,Maryland
1999,5.15,Maryland
2000,5.15,Maryland
2001,5.15,Maryland
2002,5.15,Maryland
2003,5.15,Maryland
2004,5.15,Maryland
2005,5.15,Maryland
2006,5.15,Maryland
2007,6.15,Maryland
2008,6.15,Maryland
2009,6.55,Maryland
2010,7.25,Maryland
2011,7.25,Maryland
2012,7.25,Maryland
2013,7.25,Maryland
2014,7.25,Maryland
2015,8.25,Maryland
2016,8.75,Maryland
2017,9.25,Maryland
2018,10.1,Maryland
2019,10.1,Maryland
2020,11.00,Maryland
2021,11.75,Maryland
2022,12.50,Maryland
2023,13.25,Maryland
1997,4.75,Maine
1998,5.15,Maine
1999,5.15,Maine
2000,5.15,Maine
2001,5.15,Maine
2002,5.75,Maine
2003,6.25,Maine
2004,6.25,Maine
2005,6.35,Maine
2006,6.5,Maine
2007,6.75,Maine
2008,7,Maine
2009,7.25,Maine
2010,7.5,Maine
2011,7.5,Maine
2012,7.5,Maine
2013,7.5,Maine
2014,7.5,Maine
2015,7.5,Maine
2016,7.5,Maine
2017,9,Maine
2018,10,Maine
2019,11,Maine
2020,12.00,Maine
2021,12.15,Maine
2022,12.75,Maine
2023,13.80,Maine
1997,3.35,Michigan
1998,5.15,Michigan
1999,5.15,Michigan
2000,5.15,Michigan
2001,5.15,Michigan
2002,5.15,Michigan
2003,5.15,Michigan
2004,5.15,Michigan
2005,5.15,Michigan
2006,5.15,Michigan
2007,6.95,Michigan
2008,7.15,Michigan
2009,7.4,Michigan
2010,7.4,Michigan
2011,7.4,Michigan
2012,7.4,Michigan
2013,7.4,Michigan
2014,8.15,Michigan
2015,8.15,Michigan
2016,8.5,Michigan
2017,8.9,Michigan
2018,9.25,Michigan
2019,9.45,Michigan
2020,9.65,Michigan
2021,9.65,Michigan
2022,9.87,Michigan
2023,10.10,Michigan
1997,4.25,Minnesota
1998,5.15,Minnesota
1999,5.15,Minnesota
2000,5.15,Minnesota
2001,5.15,Minnesota
2002,5.15,Minnesota
2003,5.15,Minnesota
2004,5.15,Minnesota
2005,5.15,Minnesota
2006,6.15,Minnesota
2007,6.16,Minnesota
2008,6.16,Minnesota
2009,6.16,Minnesota
2010,6.16,Minnesota
2011,6.16,Minnesota
2012,6.16,Minnesota
2013,6.15,Minnesota
2014,8,Minnesota
2015,9,Minnesota
2016,9.5,Minnesota
2017,9.5,Minnesota
2018,9.65,Minnesota
2019,9.86,Minnesota
2020,10.00,Minnesota
2021,10.08,Minnesota
2022,10.33,Minnesota
2023,10.59,Minnesota
1997,4.75,Missouri
1998,5.15,Missouri
1999,5.15,Missouri
2000,5.15,Missouri
2001,5.15,Missouri
2002,5.15,Missouri
2003,5.15,Missouri
2004,5.15,Missouri
2005,5.15,Missouri
2006,5.15,Missouri
2007,6.5,Missouri
2008,6.65,Missouri
2009,7.05,Missouri
2010,7.25,Missouri
2011,7.25,Missouri
2012,7.25,Missouri
2013,7.35,Missouri
2014,7.5,Missouri
2015,7.65,Missouri
2016,7.65,Missouri
2017,7.70,Missouri
2018,7.85,Missouri
2019,8.6,Missouri
2020,9.45,Missouri
2021,10.30,Missouri
2022,11.15,Missouri
2023,12.00,Missouri
1997,4.75,Mississippi
1998,5.15,Mississippi
1999,5.15,Mississippi
2000,5.15,Mississippi
2001,5.15,Mississippi
2002,5.15,Mississippi
2003,5.15,Mississippi
2004,5.15,Mississippi
2005,5.15,Mississippi
2006,5.15,Mississippi
2007,5.15,Mississippi
2008,5.85,Mississippi
2009,6.55,Mississippi
2010,7.25,Mississippi
2011,7.25,Mississippi
2012,7.25,Mississippi
2013,7.25,Mississippi
2014,7.25,Mississippi
2015,7.25,Mississippi
2016,7.25,Mississippi
2017,7.25,Mississippi
2018,7.25,Mississippi
2019,7.25,Mississippi
2020,7.25,Mississippi
2021,7.25,Mississippi
2022,7.25,Mississippi
2023,7.25,Mississippi
1997,4.75,Montana
1998,5.15,Montana
1999,5.15,Montana
2000,5.15,Montana
2001,5.15,Montana
2002,5.15,Montana
2003,5.15,Montana
2004,5.15,Montana
2005,5.15,Montana
2006,5.15,Montana
2007,6.15,Montana
2008,6.25,Montana
2009,6.9,Montana
2010,7.25,Montana
2011,7.35,Montana
2012,7.65,Montana
2013,7.8,Montana
2014,7.9,Montana
2015,8.05,Montana
2016,8.05,Montana
2017,8.15,Montana
2018,8.3,Montana
2019,8.5,Montana
2020,8.65,Montana
2021,8.75,Montana
2022,9.20,Montana
2023,9.95,Montana
1997,4.25,North Carolina
1998,5.15,North Carolina
1999,5.15,North Carolina
2000,5.15,North Carolina
2001,5.15,North Carolina
2002,5.15,North Carolina
2003,5.15,North Carolina
2004,5.15,North Carolina
2005,5.15,North Carolina
2006,5.15,North Carolina
2007,6.15,North Carolina
2008,6.15,North Carolina
2009,6.55,North Carolina
2010,7.25,North Carolina
2011,7.25,North Carolina
2012,7.25,North Carolina
2013,7.25,North Carolina
2014,7.25,North Carolina
2015,7.25,North Carolina
2016,7.25,North Carolina
2017,7.25,North Carolina
2018,7.25,North Carolina
2019,7.25,North Carolina
2020,7.25,North Carolina
2021,7.25,North Carolina
2022,7.25,North Carolina
2023,7.25,North Carolina
1997,4.75,North Dakota
1998,5.15,North Dakota
1999,5.15,North Dakota
2000,5.15,North Dakota
2001,5.15,North Dakota
2002,5.15,North Dakota
2003,5.15,North Dakota
2004,5.15,North Dakota
2005,5.15,North Dakota
2006,5.15,North Dakota
2007,5.15,North Dakota
2008,5.85,North Dakota
2009,6.55,North Dakota
2010,7.25,North Dakota
2011,7.25,North Dakota
2012,7.25,North Dakota
2013,7.25,North Dakota
2014,7.25,North Dakota
2015,7.25,North Dakota
2016,7.25,North Dakota
2017,7.25,North Dakota
2018,7.25,North Dakota
2019,7.25,North Dakota
2020,7.25,North Dakota
2021,7.25,North Dakota
2022,7.25,North Dakota
2023,7.25,North Dakota
1997,4.25,Nebraska
1998,5.15,Nebraska
1999,5.15,Nebraska
2000,5.15,Nebraska
2001,5.15,Nebraska
2002,5.15,Nebraska
2003,5.15,Nebraska
2004,5.15,Nebraska
2005,5.15,Nebraska
2006,5.15,Nebraska
2007,5.15,Nebraska
2008,5.85,Nebraska
2009,6.55,Nebraska
2010,7.25,Nebraska
2011,7.25,Nebraska
2012,7.25,Nebraska
2013,7.25,Nebraska
2014,7.25,Nebraska
2015,8,Nebraska
2016,9,Nebraska
2017,9,Nebraska
2018,9,Nebraska
2019,9,Nebraska
2020,9.00,Nebraska
2021,9.00,Nebraska
2022,9.00,Nebraska
2023,10.50,Nebraska
1997,4.75,New Hampshire
1998,5.15,New Hampshire
1999,5.15,New Hampshire
2000,5.15,New Hampshire
2001,5.15,New Hampshire
2002,5.15,New Hampshire
2003,5.15,New Hampshire
2004,5.15,New Hampshire
2005,5.15,New Hampshire
2006,5.15,New Hampshire
2007,5.15,New Hampshire
2008,6.5,New Hampshire
2009,7.25,New Hampshire
2010,7.25,New Hampshire
2011,7.25,New Hampshire
2012,7.25,New Hampshire
2013,7.25,New Hampshire
2014,7.25,New Hampshire
2015,7.25,New Hampshire
2016,7.25,New Hampshire
2017,7.25,New Hampshire
2018,7.25,New Hampshire
2019,7.25,New Hampshire
2020,7.25,New Hampshire
2021,7.25,New Hampshire
2022,7.25,New Hampshire
2023,7.25,New Hampshire
1997,5.05,New Jersey
1998,5.05,New Jersey
1999,5.05,New Jersey
2000,5.15,New Jersey
2001,5.15,New Jersey
2002,5.15,New Jersey
2003,5.15,New Jersey
2004,5.15,New Jersey
2005,5.15,New Jersey
2006,6.15,New Jersey
2007,7.15,New Jersey
2008,7.15,New Jersey
2009,7.15,New Jersey
2010,7.25,New Jersey
2011,7.25,New Jersey
2012,7.25,New Jersey
2013,7.25,New Jersey
2014,8.25,New Jersey
2015,8.38,New Jersey
2016,8.38,New Jersey
2017,8.44,New Jersey
2018,8.6,New Jersey
2019,10.00,New Jersey
2020,11.00,New Jersey
2021,12.00,New Jersey
2022,13.00,New Jersey
2023,14.13,New Jersey
1997,4.25,New Mexico
1998,4.25,New Mexico
1999,4.25,New Mexico
2000,4.25,New Mexico
2001,4.25,New Mexico
2002,4.25,New Mexico
2003,4.25,New Mexico
2004,5.15,New Mexico
2005,5.15,New Mexico
2006,5.15,New Mexico
2007,5.15,New Mexico
2008,6.5,New Mexico
2009,7.5,New Mexico
2010,7.5,New Mexico
2011,7.5,New Mexico
2012,7.5,New Mexico
2013,7.5,New Mexico
2014,7.5,New Mexico
2015,7.5,New Mexico
2016,7.5,New Mexico
2017,7.5,New Mexico
2018,7.5,New Mexico
2019,7.5,New Mexico
2020,9.00,New Mexico
2021,10.50,New Mexico
2022,11.50,New Mexico
2023,12.00,New Mexico
1997,4.75,Nevada
1998,5.15,Nevada
1999,5.15,Nevada
2000,5.15,Nevada
2001,5.15,Nevada
2002,5.15,Nevada
2003,5.15,Nevada
2004,5.15,Nevada
2005,5.15,Nevada
2006,5.15,Nevada
2007,6.15,Nevada
2008,6.33,Nevada
2009,6.85,Nevada
2010,7.55,Nevada
2011,8.25,Nevada
2012,8.25,Nevada
2013,8.25,Nevada
2014,8.25,Nevada
2015,8.25,Nevada
2016,8.25,Nevada
2017,8.25,Nevada
2018,8.25,Nevada
2019,8.25,Nevada
2020,9.00,Nevada
2021,9.75,Nevada
2022,9.50,Nevada
2023,9.50,Nevada
1997,4.25,New York
1998,4.25,New York
1999,4.25,New York
2000,4.25,New York
2001,5.15,New York
2002,5.15,New York
2003,5.15,New York
2004,5.15,New York
2005,6,New York
2006,6.75,New York
2007,7.15,New York
2008,7.15,New York
2009,7.15,New York
2010,7.25,New York
2011,7.25,New York
2012,7.25,New York
2013,7.25,New York
2014,8,New York
2015,8.75,New York
2016,9,New York
2017,9.7,New York
2018,10.4,New York
2019,11.1,New York
2020,11.80,New York
2021,12.50,New York
2022,13.20,New York
2023,14.20,New York
1997,4.25,Ohio
1998,4.25,Ohio
1999,4.25,Ohio
2000,4.25,Ohio
2001,4.25,Ohio
2002,4.25,Ohio
2003,4.25,Ohio
2004,4.25,Ohio
2005,4.25,Ohio
2006,4.25,Ohio
2007,6.85,Ohio
2008,7,Ohio
2009,7.3,Ohio
2010,7.3,Ohio
2011,7.4,Ohio
2012,7.7,Ohio
2013,7.85,Ohio
2014,7.95,Ohio
2015,8.1,Ohio
2016,8.1,Ohio
2017,8.15,Ohio
2018,8.3,Ohio
2019,8.55,Ohio
2020,8.70,Ohio
2021,8.80,Ohio
2022,9.30,Ohio
2023,10.10,Ohio
1997,4.75,Oklahoma
1998,5.15,Oklahoma
1999,5.15,Oklahoma
2000,5.15,Oklahoma
2001,5.15,Oklahoma
2002,5.15,Oklahoma
2003,5.15,Oklahoma
2004,5.15,Oklahoma
2005,5.15,Oklahoma
2006,5.15,Oklahoma
2007,5.15,Oklahoma
2008,5.85,Oklahoma
2009,6.55,Oklahoma
2010,7.25,Oklahoma
2011,7.25,Oklahoma
2012,7.25,Oklahoma
2013,7.25,Oklahoma
2014,7.25,Oklahoma
2015,7.25,Oklahoma
2016,7.25,Oklahoma
2017,7.25,Oklahoma
2018,7.25,Oklahoma
2019,7.25,Oklahoma
2020,7.25,Oklahoma
2021,7.25,Oklahoma
2022,7.25,Oklahoma
2023,7.25,Oklahoma
1997,5.5,Oregon
1998,6,Oregon
1999,6,Oregon
2000,6.5,Oregon
2001,6.5,Oregon
2002,6.5,Oregon
2003,6.9,Oregon
2004,7.05,Oregon
2005,7.25,Oregon
2006,7.5,Oregon
2007,7.8,Oregon
2008,7.95,Oregon
2009,8.4,Oregon
2010,8.4,Oregon
2011,8.5,Oregon
2012,8.8,Oregon
2013,8.95,Oregon
2014,9.1,Oregon
2015,9.25,Oregon
2016,9.75,Oregon
2017,10.25,Oregon
2018,10.75,Oregon
2019,11.25,Oregon
2020,12.00,Oregon
2021,12.75,Oregon
2022,13.50,Oregon
2023,13.50,Oregon
1997,4.75,Pennsylvania
1998,5.15,Pennsylvania
1999,5.15,Pennsylvania
2000,5.15,Pennsylvania
2001,5.15,Pennsylvania
2002,5.15,Pennsylvania
2003,5.15,Pennsylvania
2004,5.15,Pennsylvania
2005,5.15,Pennsylvania
2006,5.15,Pennsylvania
2007,6.25,Pennsylvania
2008,7.15,Pennsylvania
2009,7.15,Pennsylvania
2010,7.25,Pennsylvania
2011,7.25,Pennsylvania
2012,7.25,Pennsylvania
2013,7.25,Pennsylvania
2014,7.25,Pennsylvania
2015,7.25,Pennsylvania
2016,7.25,Pennsylvania
2017,7.25,Pennsylvania
2018,7.25,Pennsylvania
2019,7.25,Pennsylvania
2020,7.25,Pennsylvania
2021,7.25,Pennsylvania
2022,7.25,Pennsylvania
2023,7.25,Pennsylvania
1997,5.15,Rhode Island
1998,5.15,Rhode Island
1999,5.15,Rhode Island
2000,5.65,Rhode Island
2001,6.15,Rhode Island
2002,6.15,Rhode Island
2003,6.15,Rhode Island
2004,6.75,Rhode Island
2005,6.75,Rhode Island
2006,6.75,Rhode Island
2007,7.4,Rhode Island
2008,7.4,Rhode Island
2009,7.4,Rhode Island
2010,7.4,Rhode Island
2011,7.4,Rhode Island
2012,7.4,Rhode Island
2013,7.75,Rhode Island
2014,8,Rhode Island
2015,9,Rhode Island
2016,9.6,Rhode Island
2017,9.6,Rhode Island
2018,10.1,Rhode Island
2019,10.5,Rhode Island
2020,10.50,Rhode Island
2021,11.50,Rhode Island
2022,12.25,Rhode Island
2023,13.00,Rhode Island
1997,4.75,South Carolina
1998,5.15,South Carolina
1999,5.15,South Carolina
2000,5.15,South Carolina
2001,5.15,South Carolina
2002,5.15,South Carolina
2003,5.15,South Carolina
2004,5.15,South Carolina
2005,5.15,South Carolina
2006,5.15,South Carolina
2007,5.15,South Carolina
2008,5.85,South Carolina
2009,6.55,South Carolina
2010,7.25,South Carolina
2011,7.25,South Carolina
2012,7.25,South Carolina
2013,7.25,South Carolina
2014,7.25,South Carolina
2015,7.25,South Carolina
2016,7.25,South Carolina
2017,7.25,South Carolina
2018,7.25,South Carolina
2019,7.25,South Carolina
2020,7.25,South Carolina
2021,7.25,South Carolina
2022,7.25,South Carolina
2023,7.25,South Carolina
1997,4.25,South Dakota
1998,5.15,South Dakota
1999,5.15,South Dakota
2000,5.15,South Dakota
2001,5.15,South Dakota
2002,5.15,South Dakota
2003,5.15,South Dakota
2004,5.15,South Dakota
2005,5.15,South Dakota
2006,5.15,South Dakota
2007,5.15,South Dakota
2008,5.85,South Dakota
2009,6.55,South Dakota
2010,7.25,South Dakota
2011,7.25,South Dakota
2012,7.25,South Dakota
2013,7.25,South Dakota
2014,7.25,South Dakota
2015,8.5,South Dakota
2016,8.55,South Dakota
2017,8.65,South Dakota
2018,8.85,South Dakota
2019,9.1,South Dakota
2020,9.30,South Dakota
